run,impl,threads,size,mix,mean_ops_per_sec,std_within_run
2,vcas,1,1024,read_snap_short,247737,129
2,vcas,1,1024,write_heavy,231588,29
2,vcas,2,1024,read_heavy,509308,786
2,vcas,2,1024,read_snap_short,477257,2108
2,vcas,2,1024,write_heavy,420770,146
2,vcas,4,1024,read_heavy,1010336,1567
2,vcas,4,1024,read_snap_short,956303,863
2,vcas,4,1024,write_heavy,819278,1918
2,vcas,8,1024,read_heavy,1941284,33116
2,vcas,8,1024,read_snap_short,1835259,11993
2,vcas,8,1024,write_heavy,1476442,6459
2,vcas,16,1024,read_heavy,3877612,2416
2,vcas,16,1024,read_snap_short,3566402,15620
2,vcas,16,1024,write_heavy,2722449,38650
2,vcas,24,1024,read_heavy,5713188,11518
2,vcas,24,1024,read_snap_short,5149931,44450
2,vcas,24,1024,write_heavy,3826216,17558
2,vcas,32,1024,read_heavy,7483764,10082
2,vcas,32,1024,read_snap_short,6714825,59531
2,vcas,32,1024,write_heavy,4924831,84157
2,vcas,48,1024,read_heavy,10247690,40690
2,vcas,48,1024,write_heavy,6921857,47192
2,vcas,64,1024,read_heavy,12604613,179163
2,vcas,64,1024,write_heavy,7471958,19217
3,coarse,1,1024,read_heavy,987988,13296
3,coarse,1,1024,read_snap_short,976971,1607
3,coarse,1,1024,write_heavy,987254,2191
3,coarse,1,1024,write_snap_long,875765,424
3,coarse,1,16384,read_heavy,28151,7
3,coarse,1,16384,read_snap_short,27921,19
3,coarse,1,16384,write_heavy,27932,21
3,coarse,1,16384,write_snap_long,25404,13
3,coarse,2,1024,read_heavy,396074,5424
3,coarse,2,1024,read_snap_short,405929,3460
3,coarse,2,1024,write_heavy,470603,6642
3,coarse,2,1024,write_snap_long,416549,5650
3,coarse,2,16384,read_heavy,25984,24
3,coarse,2,16384,read_snap_short,25823,67
3,coarse,2,16384,write_heavy,25693,64
3,coarse,2,16384,write_snap_long,23668,12
3,coarse,4,1024,read_heavy,411841,4839
3,coarse,4,1024,read_snap_short,422007,6441
3,coarse,4,1024,write_heavy,477286,5923
3,coarse,4,1024,write_snap_long,420963,6090
3,coarse,4,16384,read_heavy,26113,57
3,coarse,4,16384,read_snap_short,25963,87
3,coarse,4,16384,write_heavy,25821,38
3,coarse,4,16384,write_snap_long,23643,25
3,coarse,8,1024,read_heavy,410321,2017
3,coarse,8,1024,read_snap_short,420948,3060
3,coarse,8,1024,write_heavy,473669,6635
3,coarse,8,1024,write_snap_long,415416,3951
3,coarse,8,16384,read_heavy,25748,102
3,coarse,8,16384,read_snap_short,25462,111
3,coarse,8,16384,write_heavy,25172,88
3,coarse,8,16384,write_snap_long,23143,35
3,coarse,16,1024,read_heavy,408182,3235
3,coarse,16,1024,read_snap_short,415940,1258
3,coarse,16,1024,write_heavy,464985,2688
3,coarse,16,1024,write_snap_long,408511,3326
3,coarse,16,16384,read_heavy,23458,192
3,coarse,16,16384,read_snap_short,22969,416
3,coarse,16,16384,write_heavy,22200,110
3,coarse,16,16384,write_snap_long,20146,127
3,coarse,24,1024,read_heavy,401390,4731
3,coarse,24,1024,read_snap_short,406287,1417
3,coarse,24,1024,write_heavy,444477,5962
3,coarse,24,1024,write_snap_long,398887,1719
3,coarse,24,16384,read_heavy,21376,406
3,coarse,24,16384,read_snap_short,21013,159
3,coarse,24,16384,write_heavy,20667,184
3,coarse,24,16384,write_snap_long,18943,237
3,coarse,32,1024,read_heavy,293010,11016
3,coarse,32,1024,read_snap_short,385459,5303
3,coarse,32,1024,write_heavy,430870,4883
3,coarse,32,1024,write_snap_long,379743,2802
3,coarse,32,16384,read_heavy,21612,174
3,coarse,32,16384,read_snap_short,21774,218
3,coarse,32,16384,write_heavy,21480,250
3,coarse,32,16384,write_snap_long,19482,252
3,coarse,48,1024,read_heavy,197758,23095
3,coarse,48,1024,read_snap_short,395688,3858
3,coarse,48,1024,write_heavy,435631,1902
3,coarse,48,1024,write_snap_long,382777,17335
3,coarse,48,16384,read_heavy,20871,67
3,coarse,48,16384,read_snap_short,29042,14401
